model;Estimate;Est.Error;l95;u05;Rhat;Bulk_ESS;Tail_ESS;species;modelabc;type
logk_Intercept;-0.13;0.55;-1.28;1.02;1;11728;11295;Alder;Intercept;Intercept
NLoss_Intercept;-0.43;0.51;-1.52;0.68;1;12304;11648;Alder;Intercept;Intercept
logFungalBiomLeafmggnoRR1_Intercept;-0.28;0.58;-1.46;0.92;1;13036;13025;Alder;Intercept;Intercept
logk_MeshCoarse;0.34;0.24;-0.13;0.82;1;8364;10368;Alder;E;logk_MeshCoarse
logk_LeafLeafAlderMix;-0.23;0.07;-0.37;-0.1;1;16222;13189;Alder;H;logk_LeafMix
logk_Vegetationforested;0.16;0.12;-0.07;0.41;1;6318;8846;Alder;B;logk_VegetationForested
logk_logFungal_Biom_Leaf_mgg_noRR_1;0.25;0.24;-0.22;0.73;1;6286;9017;Alder;K;logk_logbiom
logk_N_Loss;0.5;0.27;-0.05;1.03;1;5600;7756;Alder;L;logk_Nloss
NLoss_MeshCoarse;0.57;0.15;0.27;0.86;1;13499;13752;Alder;F;Nloss_MeshCoarse
NLoss_LeafLeafAlderMix;-0.07;0.11;-0.29;0.16;1;23490;14256;Alder;I;Nloss_LeafMix
NLoss_Vegetationforested;0.36;0.12;0.13;0.59;1;24614;14992;Alder;C;Nloss_VegetationForested
NLoss_logFungal_Biom_Leaf_mgg_noRR_1;0.26;0.14;-0.03;0.53;1;10706;10279;Alder;J;Nloss_logbiom
logFungalBiomLeafmggnoRR1_MeshCoarse;0.73;0.08;0.59;0.88;1;27887;15759;Alder;D;logbiom_MeshCoarse
logFungalBiomLeafmggnoRR1_LeafLeafAlderMix;-0.06;0.08;-0.2;0.09;1;23189;15281;Alder;G;logbiom_LeafMix
logFungalBiomLeafmggnoRR1_Vegetationforested;-0.14;0.07;-0.29;0;1;26258;15529;Alder;A;logbiom_VegetationForested
logk_Intercept;-0.08;0.52;-1.18;1.01;1;13213;12821;Ash;Intercept;Intercept
NLoss_Intercept;-0.67;0.48;-1.74;0.4;1;14286;11712;Ash;Intercept;Intercept
logFungalBiomLeafmggnoRR1_Intercept;-0.26;0.59;-1.52;0.98;1;16003;13545;Ash;Intercept;Intercept
logk_MeshCoarse;0.19;0.28;-0.35;0.78;1;9189;11370;Ash;E;logk_MeshCoarse
logk_LeafLeafAshMix;-0.16;0.07;-0.29;-0.03;1;17803;13019;Ash;H;logk_LeafMix
logk_Vegetationforested;0.13;0.11;-0.07;0.38;1;7610;10104;Ash;B;logk_VegetationForested
logk_logFungal_Biom_Leaf_mgg_noRR_1;0.21;0.25;-0.27;0.72;1;6834;10685;Ash;K;logk_logbiom
logk_N_Loss;0.61;0.26;0.06;1.08;1;7211;9576;Ash;L;logk_Nloss
