Sample_ID;Site;Country;Region;Stream;Vegetation;Mesh;LeafLeafLeaf;MonoMix;LeafLeaf;EA_N_Percent_corr;EA_C_Percent_corr;molar_CN;log_molar_CN;N_Loss;C_Loss;Fungal_Biom_Leaf_mgg_noRR_1;k_corr1;Delta15_N_Air;Delta13_C_VPDB;Delta_logCN_abs;ID;Group
TG3A100;TG3A;Switzerland;North;TG3;non-forested;Fine;Alder;Mono;AlderMono;2.92;46.19;18.44729183;2.914917576;8.128550186;35.61906828;32.6715401;0.002747924;-0.98;-29.68;-0.356968424;TG3A100AlderMono;Mononon-forestedFine
TG3A101;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mono;AshMono;2.81;45.73;18.97852206;2.943307922;5.040824661;42.70386154;57.12592323;0.004406757;-0.37;-30.58;-0.530123078;TG3A101AshMono;Mononon-forestedFine
TG3A102;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mono;AshMono;2.8;46.12;19.20873543;2.955365146;7.645959504;43.59979206;73.85779456;0.004577654;-0.19;-30.18;-0.518065854;TG3A102AshMono;Mononon-forestedFine
TG3A103;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mono;AshMono;2.94;45.28;17.96083798;2.88819372;12.99260271;50.31688667;89.31246589;0.005341689;0.34;-30.39;-0.58523728;TG3A103AshMono;Mononon-forestedFine
TG3A104;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mono;AshMono;2.75;45.7;19.37987688;2.964235254;13.44850348;46.67245081;60.41278956;0.004907937;-0.37;-30.55;-0.509195746;TG3A104AshMono;Mononon-forestedFine
TG3A105;TG3A;Switzerland;North;TG3;non-forested;Fine;Alder;Mix;AlderMix;2.71;44.54;19.16674784;2.953176894;12.15794404;36.04198295;53.94512648;0.002538042;-0.95;-29.84;-0.318709106;TG3A105AlderMix;Mixnon-forestedFine
TG3A105;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mix;AshMix;2.86;45.86;18.69973813;2.92850952;6.664030877;44.51052757;82.94741081;0.004652532;-0.14;-30.63;-0.54492148;TG3A105AshMix;Mixnon-forestedFine
TG3A106;TG3A;Switzerland;North;TG3;non-forested;Fine;Alder;Mix;AlderMix;2.91;45.61;18.27824906;2.905711777;2.03901487;31.9807555;32.66280544;0.002271509;-1.05;-30.03;-0.366174223;TG3A106AlderMix;Mixnon-forestedFine
TG3A106;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mix;AshMix;2.6;45.06;20.21088574;3.006221357;14.81251339;45.26221977;79.4714768;0.004624633;-0.04;-30.49;-0.467209643;TG3A106AshMix;Mixnon-forestedFine
TG3A107;TG3A;Switzerland;North;TG3;non-forested;Fine;Alder;Mix;AlderMix;2.73;45.5;19.43641919;2.967148584;9.669418545;33.30471509;30.38472602;0.002393004;-0.72;-30.06;-0.304737416;TG3A107AlderMix;Mixnon-forestedFine
TG3A107;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mix;AshMix;2.74;44.96;19.13565125;2.951553153;14.5717512;48.02783832;67.14496879;0.004974314;-0.26;-30.46;-0.521877847;TG3A107AshMix;Mixnon-forestedFine
TG3A108;TG3A;Switzerland;North;TG3;non-forested;Fine;Alder;Mix;AlderMix;3.07;47.06;17.87644079;2.883483689;10.71421195;39.36722291;37.08502811;0.003302081;-1;-29.67;-0.388402311;TG3A108AlderMix;Mixnon-forestedFine
TG3A108;TG3A;Switzerland;North;TG3;non-forested;Fine;Ash;Mix;AshMix;2.53;44.87;20.68250109;3.029287985;21.30047185;48.2510891;62.94155344;0.004990528;-0.14;-30.52;-0.444143015;TG3A108AshMix;Mixnon-forestedFine
TG3A109;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mono;AlderMono;2.69;43.87;19.01878907;2.945427389;16.25998004;39.49935689;53.13612292;0.002822836;-0.71;-29.71;-0.326458611;TG3A109AlderMono;Mononon-forestedCoarse
TG1A10;TG1A;Switzerland;North;TG1;non-forested;Fine;Alder;Mix;AlderMix;3;47.82;18.58899132;2.922569541;5.519246912;33.28196604;83.91908575;0.003304815;-0.38;-29.38;-0.349316459;TG1A10AlderMix;Mixnon-forestedFine
TG1A10;TG1A;Switzerland;North;TG1;non-forested;Fine;Ash;Mix;AshMix;2.85;45.45;18.59758426;2.923031694;15.97829556;50.32086195;74.30370572;0.006472885;0.4;-30.66;-0.550399306;TG1A10AshMix;Mixnon-forestedFine
TG3A110;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mono;AlderMono;3.03;44.37;17.07710732;2.837738813;8.486115242;40.63296375;47.96713463;0.003035979;-0.66;-30.3;-0.434147187;TG3A110AlderMono;Mononon-forestedCoarse
TG3A111;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mono;AlderMono;2.65;41.69;18.34651282;2.909439519;25.39712324;48.00600687;28.9205078;0.003531414;-0.78;-29.8;-0.362446481;TG3A111AlderMono;Mononon-forestedCoarse
TG3A112;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mono;AlderMono;2.88;45.4;18.38361315;2.911459678;18.31871922;42.95764058;43.84376003;0.003479163;0.95;-29.54;-0.360426322;TG3A112AlderMono;Mononon-forestedCoarse
TG3A113;TG3A;Switzerland;North;TG3;non-forested;Coarse;Ash;Mono;AshMono;2.55;40.35;18.45316505;2.915235903;31.68736243;59.92274667;87.70847833;0.006043403;-0.04;-30.38;-0.558195097;TG3A113AshMono;Mononon-forestedCoarse
TG3A114;TG3A;Switzerland;North;TG3;non-forested;Coarse;Ash;Mono;AshMono;2.22;42.52;22.33612281;3.106205225;33.84431521;53.02130073;62.36594651;0.005292927;0.03;-30.21;-0.367225775;TG3A114AshMono;Mononon-forestedCoarse
TG3A115;TG3A;Switzerland;North;TG3;non-forested;Coarse;Ash;Mono;AshMono;2.66;43.33;18.99654234;2.94425698;24.32239371;54.29455135;85.45781768;0.005619518;0.06;-30.29;-0.52917402;TG3A115AshMono;Mononon-forestedCoarse
TG3A116;TG3A;Switzerland;North;TG3;non-forested;Coarse;Ash;Mono;AshMono;2.64;44.1;19.48059287;2.969418733;16.68859413;48.40202437;68.95007527;0.004889137;0.14;-30.15;-0.504012267;TG3A116AshMono;Mononon-forestedCoarse
TG3A117;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mix;AlderMix;2.76;46.42;19.61388215;2.976237589;18.40557621;39.20496531;73.10824916;0.00318676;1.02;-30.13;-0.295648411;TG3A117AlderMix;Mixnon-forestedCoarse
TG3A117;TG3A;Switzerland;North;TG3;non-forested;Coarse;Ash;Mix;AshMix;2.67;43.33;18.92539424;2.940504631;18.11998276;50.73381988;88.41141584;0.005090881;0.23;-30.18;-0.532926369;TG3A117AshMix;Mixnon-forestedCoarse
TG3A118;TG3A;Switzerland;North;TG3;non-forested;Coarse;Alder;Mix;AlderMix;2.9;42.6;17.13085774;2.840881384;15.64342873;45.10382349;NA;0.003300832;-0.54;-29.88;-0.431004616;TG3A118AlderMix;Mixnon-forestedCoarse
